,email,name,password,balance,type,street,city,zip,state,id
0,jbutt@gmail.com,James,orangebunny16,100.0,Manager,6649 N Blue Gum St,New Orleans,70116,LA,12
1,josephine_darakjy@darakjy.org,Josephine,widecup23,100.0,Manager,4 B Blue Ridge Blvd,Brighton,48116,MI,13
2,art@venere.org,Art,nicearm11,100.0,Manager,8 W Cerritos Ave #54,Bridgeport,8014,NJ,14
3,lpaprocki@hotmail.com,Lenna,colddoor54,100.0,Manager,639 Main St,Anchorage,99501,AK,15
4,donette.foller@cox.net,Donette,funnyhair39,100.0,Manager,34 Center St,Hamilton,45011,OH,16
5,simona@morasca.com,Simona,coolwish58,100.0,Manager,3 Mcauley Dr,Ashland,44805,OH,17
6,mitsue_tollner@yahoo.com,Mitsue,graydime98,100.0,Manager,7 Eads St,Chicago,60632,IL,18
7,leota@hotmail.com,Leota,oddrock86,100.0,Manager,7 W Jackson Blvd,San Jose,95111,CA,19
8,sage_wieser@cox.net,Sage,rounddime44,100.0,Manager,5 Boston Ave #88,Sioux Falls,57105,SD,20
9,kris@gmail.com,Kris,loudkite36,100.0,Manager,228 Runamuck Pl #2808,Baltimore,21224,MD,21
10,minna_amigon@yahoo.com,Minna,proudbat52,100.0,Manager,2371 Jerrold Ave,Kulpsville,19443,PA,22
11,amaclead@gmail.com,Abel,widepig98,100.0,Manager,37275 St  Rt 17m M,Middle Island,11953,NY,23
12,kiley.caldarera@aol.com,Kiley,bigmeal67,100.0,Manager,25 E 75th St #69,Los Angeles,90034,CA,24
13,gruta@cox.net,Graciela,bluemap97,100.0,Manager,98 Connecticut Ave Nw,Chagrin Falls,44023,OH,25
14,calbares@gmail.com,Cammy,redcamp26,100.0,Manager,56 E Morehead St,Laredo,78045,TX,26
15,mattie@aol.com,Mattie,pinkjoke83,100.0,Manager,73 State Road 434 E,Phoenix,85013,AZ,27
16,meaghan@hotmail.com,Meaghan,oddmap42,100.0,Manager,69734 E Carrillo St,Mc Minnville,37110,TN,28
17,gladys.rim@rim.org,Gladys,proudbun87,100.0,Manager,322 New Horizon Blvd,Milwaukee,53207,WI,29
18,yuki_whobrey@aol.com,Yuki,sillydoll77,100.0,Manager,1 State Route 27,Taylor,48180,MI,30
