"id","email","name","password","balance","type","street","city","zip","state"
13,"jbutt@gmail.com","James","orangebunny16",100,"Manager","6649 N Blue Gum St","New Orleans",70116,"LA"
14,"josephine_darakjy@darakjy.org","Josephine","widecup23",100,"Manager","4 B Blue Ridge Blvd","Brighton",48116,"MI"
15,"art@venere.org","Art","nicearm11",100,"Manager","8 W Cerritos Ave #54","Bridgeport",8014,"NJ"
16,"lpaprocki@hotmail.com","Lenna","colddoor54",100,"Manager","639 Main St","Anchorage",99501,"AK"
17,"donette.foller@cox.net","Donette","funnyhair39",100,"Manager","34 Center St","Hamilton",45011,"OH"
18,"simona@morasca.com","Simona","coolwish58",100,"Manager","3 Mcauley Dr","Ashland",44805,"OH"
19,"mitsue_tollner@yahoo.com","Mitsue","graydime98",100,"Manager","7 Eads St","Chicago",60632,"IL"
20,"leota@hotmail.com","Leota","oddrock86",100,"Manager","7 W Jackson Blvd","San Jose",95111,"CA"
21,"sage_wieser@cox.net","Sage","rounddime44",100,"Manager","5 Boston Ave #88","Sioux Falls",57105,"SD"
22,"kris@gmail.com","Kris","loudkite36",100,"Manager","228 Runamuck Pl #2808","Baltimore",21224,"MD"
23,"minna_amigon@yahoo.com","Minna","proudbat52",100,"Manager","2371 Jerrold Ave","Kulpsville",19443,"PA"
24,"amaclead@gmail.com","Abel","widepig98",100,"Manager","37275 St  Rt 17m M","Middle Island",11953,"NY"
25,"kiley.caldarera@aol.com","Kiley","bigmeal67",100,"Manager","25 E 75th St #69","Los Angeles",90034,"CA"
26,"gruta@cox.net","Graciela","bluemap97",100,"Manager","98 Connecticut Ave Nw","Chagrin Falls",44023,"OH"
27,"calbares@gmail.com","Cammy","redcamp26",100,"Manager","56 E Morehead St","Laredo",78045,"TX"
28,"mattie@aol.com","Mattie","pinkjoke83",100,"Manager","73 State Road 434 E","Phoenix",85013,"AZ"
29,"meaghan@hotmail.com","Meaghan","oddmap42",100,"Manager","69734 E Carrillo St","Mc Minnville",37110,"TN"
30,"gladys.rim@rim.org","Gladys","proudbun87",100,"Manager","322 New Horizon Blvd","Milwaukee",53207,"WI"
31,"yuki_whobrey@aol.com","Yuki","sillydoll77",100,"Manager","1 State Route 27","Taylor",48180,"MI"
32,"fletcher.flosi@yahoo.com","Fletcher","kindstar14",100,"Manager","394 Manchester Blvd","Rockford",61109,"IL"
33,"bette_nicka@cox.net","Bette","oddhat83",100,"Seller","6 S 33rd St","Aston",19014,"PA"
34,"vinouye@aol.com","Veronika","cutecake30",100,"Seller","6 Greenleaf Ave","San Jose",95111,"CA"
35,"willard@hotmail.com","Willard","purplepig93",100,"Seller","618 W Yakima Ave","Irving",75062,"TX"
36,"mroyster@royster.com","Maryann","purplestar32",100,"Seller","74 S Westgate St","Albany",12204,"NY"
37,"alisha@slusarski.com","Alisha","cutedime86",100,"Seller","3273 State St","Middlesex",8846,"NJ"
38,"allene_iturbide@cox.net","Allene","widearm81",100,"Seller","1 Central Ave","Stevens Point",54481,"WI"
39,"chanel.caudy@caudy.org","Chanel","flatcup83",100,"Seller","86 Nw 66th St #8673","Shawnee",66218,"KS"
40,"ezekiel@chui.com","Ezekiel","drybun96",100,"Seller","2 Cedar Ave #84","Easton",21601,"MD"
41,"wkusko@yahoo.com","Willow","drydoll90",100,"Seller","90991 Thorburn Ave","New York",10011,"NY"
42,"bfigeroa@aol.com","Bernardo","pinkowl30",100,"Seller","386 9th Ave N","Conroe",77301,"TX"
43,"ammie@corrio.com","Ammie","tinyrock73",100,"Seller","74874 Atlantic Ave","Columbus",43215,"OH"
44,"francine_vocelka@vocelka.com","Francine","oldsong55",100,"Seller","366 South Dr","Las Cruces",88011,"NM"
45,"ernie_stenseth@aol.com","Ernie","bigbook47",100,"Seller","45 E Liberty St","Ridgefield Park",7660,"NJ"
46,"albina@glick.com","Albina","bluestar83",100,"Seller","4 Ralph Ct","Dunellen",8812,"NJ"
47,"asergi@gmail.com","Alishia","coldmeal86",100,"Seller","2742 Distribution Way","New York",10025,"NY"
48,"solange@shinko.com","Solange","shortbird63",100,"Seller","426 Wolf St","Metairie",70002,"LA"
49,"jose@yahoo.com","Jose","purpleegg50",100,"Seller","128 Bransten Rd","New York",10011,"NY"
50,"rozella.ostrosky@ostrosky.com","Rozella","loudcup65",100,"Seller","17 Morena Blvd","Camarillo",93012,"CA"
51,"valentine_gillian@gmail.com","Valentine","lowclam42",100,"Seller","775 W 17th St","San Antonio",78204,"TX"
52,"kati.rulapaugh@hotmail.com","Kati","jollyarm52",100,"Seller","6980 Dorsett Rd","Abilene",67410,"KS"
53,"youlanda@aol.com","Youlanda","youngcamp53",100,"Seller","2881 Lewis Rd","Prineville",97754,"OR"
54,"doldroyd@aol.com","Dyan","calmtoe14",100,"Seller","7219 Woodfield Rd","Overland Park",66204,"KS"
55,"roxane@hotmail.com","Roxane","tallwish35",100,"Seller","1048 Main St","Fairbanks",99708,"AK"
56,"lperin@perin.org","Lavera","redlock23",100,"Seller","678 3rd Ave","Miami",33196,"FL"
57,"erick.ferencz@aol.com","Erick","cutebun48",100,"Seller","20 S Babcock St","Fairbanks",99712,"AK"
58,"fsaylors@saylors.org","Fatima","roundbed17",100,"Seller","2 Lighthouse Ave","Hopkins",55343,"MN"
59,"jina_briddick@briddick.com","Jina","cutemeal86",100,"Seller","38938 Park Blvd","Boston",2128,"MA"
60,"kanisha_waycott@yahoo.com","Kanisha","purplebat47",100,"Seller","5 Tomahawk Dr","Los Angeles",90006,"CA"
61,"emerson.bowley@bowley.org","Emerson","wideegg39",100,"Seller","762 S Main St","Madison",53711,"WI"
62,"bmalet@yahoo.com","Blair","cutecow82",100,"Seller","209 Decker Dr","Philadelphia",19132,"PA"
63,"bbolognia@yahoo.com","Brock","youngbunny16",100,"Seller","4486 W O St #1","New York",10003,"NY"
64,"lnestle@hotmail.com","Lorrie","cleanplot76",100,"Seller","39 S 7th St","Tullahoma",37388,"TN"
65,"sabra@uyetake.org","Sabra","richtoe47",100,"Seller","98839 Hawthorne Blvd #6101","Columbia",29201,"SC"
66,"mmastella@mastella.com","Marjory","bluebed37",100,"Seller","71 San Mateo Ave","Wayne",19087,"PA"
67,"karl_klonowski@yahoo.com","Karl","proudseed23",100,"Seller","76 Brooks St #9","Flemington",8822,"NJ"
68,"twenner@aol.com","Tonette","flatcat89",100,"Seller","4545 Courthouse Rd","Westbury",11590,"NY"
69,"amber_monarrez@monarrez.org","Amber","purpledesk64",100,"Seller","14288 Foster Ave #4121","Jenkintown",19046,"PA"
70,"shenika@gmail.com","Shenika","graypest82",100,"Seller","4 Otis St","Van Nuys",91405,"CA"
